company,plant_cost_us_billions,plant_location,plant_name,process_technology,production_capacity,started_production,technology_products,wafer_size
Qorvo (formerly TriQuint Semiconductor)  (formerly Texas Instruments) (formerly TwinStar Semiconductor),0.5,"USA , TX, Richardson",,"350, 250, 150, 90","8,000",1996,"DRAM (former), Filter (signal processing)#BAW filtersBAW filters, , GaN-on-SiC","100, 150, 200"
Qorvo (formerly TriQuint Semiconductor),,"USA , OR, Hillsboro",,500,,,"Power amps, Gallium arsenideGaAs","100, 150"
Apple,,"USA , CA, San Jose",X3,600–90,,"?, 1997, 2015",,
Analog Devices,,"Ireland , Limerick",Limerick,,,,,200
Analog Devices,,"USA , MA, Wilmington",Wilmington,,,,,200/150
Analog Devices (formerly Linear Technology),,"USA , CA, Milipitas",Hillview,,,,,150
Analog Devices (formerly Linear Technology),,"USA , WA, Camas",Camas,,,,,150
Maxim IntegratedMaxim,,"USA , OR, Beaverton",MaxFabNorth,,,,,
ISRO,,"India , Chandigarh",SCL,180,,2006,"MEMS, CMOS, CCD, N.S.",200
STAR-C,,"India , Bangalore",MEMS,1000–nanometer500,,1996,MEMS,150
STAR-C,,"India , Bangalore",CMOS,1000–nanometer500,,1996,CMOS,150
GAETEC,,"India , Hyderabad",GaAs,700–nanometer500,,1996,MESFET,150
Tower Semiconductor,,"USA , TX, San Antonio",Fab 9,180,,2003,"Foundry, AluminiumAl Back end of lineBEOL, Power, Radio frequencyRF Analogue electronicsAnalog",200
Tower Semiconductor (formerly National Semiconductor),0.235,"Israel , Migdal&nbsp;Haemek",Fab 1,1000–350 nanometer350,"14,000","1989,  1986","Foundry, Planarized BEOL,",150
Tower Semiconductor,1.226,"Israel , Migdal&nbsp;Haemek",Fab 2,180–130 nanometer130,"51,000",2003,"Foundry, CopperCu and Al BEOL, EPI, 193&nbsp;nm Scanner, CMOS, CIS, Power, , Microelectromechanical systemsMEMS, RFCMOS",200
Tower Semiconductor (formerly Jazz Technologies),0.165,"USA , CA, Newport&nbsp;Beach","Fab 3,",130–500,"25,000","1967, 1995","Foundry, Al BEOL, Silicon-germaniumSiGe, EPI",200
Tower Semiconductor – TPSCo (formerly Panasonic),,"Japan, Tonami","Fab 5,",500–130,,1994,"Foundry, ,Power,Discrete, Non-volatile memoryNVM, Charge-coupled deviceCCD",200
Tower Semiconductor – TPSCo (formerly Panasonic),,"Japan, Uozu","Fab 7,",65 nanometer65. 45 nanometer45,,1984,"Foundry, CMOS,CIS,RF Silicon on insulatorSOI,",300
Tower Semiconductor – TPSCo (formerly Panasonic),,"Japan, Arai","Fab 6,",130–110,,1976,"Foundry,",200
Nuvoton,,Taiwan,Fab2,350–1000&nbsp;nm,"45,000",,"Generic Logic, Mixed Signal (Mixed Mode), , Non-Volatile Memory, Insulated-gate bipolar transistorIGBT, MOSFET, Biochip, TVS, Sensor",150
Nuvoton,,"Taiwan, No. 4, Creation Rd. III, Hsinchu Science Park",Nuvoton Technology Corporation,,,,,
Microchip TechnologyMicrochip (formerly California Micro Devices) (formerly GTE),,"USA , AZ, Tempe",Fab 2,5000–350,,,,"130, 150, 200"
Microchip TechnologyMicrochip (formerly Fujitsu),,"USA , OR, Gresham",Fab 4,500–130,,2004,,200
Microchip TechnologyMicrochip (formerly Atmel),,"USA , CO, Colorado Springs",Fab 5,1000–250,,,,150
Rohm,,Japan,Shiga Factory,150,,,"IGBT, MOSFET, MEMS",200
Rohm (Lapis Semiconductor)(formerly Oki Semiconductor)(Oki Electric Industry),,Japan,Miyasaki,150,,,MEMS,
Rohm (Lapis Semiconductor),,Japan,Building No.1,,,1961,TransistorTransistors,
Rohm (Lapis Semiconductor),,Japan,Building No.2,,,1962,Transistors,
Rohm (Lapis Semiconductor),,Japan,Building No.3,,,1962,Transistors,
Rohm (Lapis Semiconductor),,Japan,Building No.4,,,1969,Transistors,
Rohm (Lapis Semiconductor),,Japan,Chichibu Plant,,,1975,DRAM,
Rohm (Lapis Semiconductor),,Japan,VLSI Laboratory No. 1,,,1977,Very Large Scale IntegrationVLSI,
Rohm (Lapis Semiconductor),,Japan,VLSI Laboratory No. 2,,,1983,,
Rohm (Lapis Semiconductor),,Japan,VLSI Laboratory No. 3,,,1983,DRAM,
Rohm (Lapis Semiconductor),,"USA, OR",Oregon Plant,,,1990,,
Rohm (Lapis Semiconductor),,Thailand,Thailand,,,1992,,
Rohm (Lapis Semiconductor),,Japan,ULSI Laboratory No. 1,500,,1992,DRAM,
Rohm (Kionix),,"USA, NY, Ithaca",Ithaca,,,,MEMS,150
Rohm (Kionix) (formerly Renesas Kyoto),,"Japan, Kyoto",Kyoto,,,,MEMS,200
Oki Electric Industry,,"Japan , Tokyo, Minato-ku",,,"7,200",1961,"Bipolar, Mask ROM","100, 150, 130, 76"
Oki Electric Industry,,,Miyazaki Oki Electric Co,3000,"7,200",1981,"Bipolar, Mask ROM, DRAM","100, 150, 130, 76"
Oki Electric Industry,,,Miyagi Facility,,"7,200",1988,"Bipolar, Mask ROM","100, 150, 130, 76"
Oki Electric Industry,,,Hachioji Facility,,"7,200",,"Bipolar, Mask ROM","100, 150, 130, 76"
Oki Electric Industry,,,,180–150,,,"System on a chipSoCs, LSI, Logic, Memory",150
Fuji Electric,,"Japan, Nagano Prefecture",Omachi,,,,,
Fuji Electric,,"Japan, Nagano Prefecture",Iyama,,,,,
Fuji Electric,,"Japan, Toyama prefecture",Hokuriku,,,,,
Fuji Electric,,"Japan, Nagano prefecture",Matsumoto,,,,,
Fujitsu,,"Japan , Kawasaki",Kawasaki,,,1966,,
Fujitsu,,"https://maps.google.com/maps?q=1500+Tadocho+Mizono,+Kuwana,+Mie,+Japan Japan, 1500 Tadocho Mizono, Kuwana, Mie",Fab B1 (at Mie),"65 nanometer65, 90 nanometer90","15,000",2005,"Foundry, Ultra-low Power Integrated circuitICs, , RF ICs",300
Fujitsu,1 (total),"https://maps.google.com/maps?q=1500+Tadocho+Mizono,+Kuwana,+Mie,+Japan Japan, 1500 Tadocho Mizono, Kuwana, Mie",Fab B2 (at Mie),"65 nanometer65, 90 nanometer90","25,000","2007, July","Foundry, Ultra-low Power ICs, , RF ICs",300
Fujitsu,,"https://maps.google.com/maps?q=1500+Tadocho+Mizono,+Kuwana,+Mie,+Japan Japan, 1500 Tadocho Mizono, Kuwana, Mie",,40 nanometer40,"5,000",2015,Foundry,300
Fujitsu,,"Japan, Saitama, 1224 Oaza-Nakanara, Kumagaya-shi, 360-0801",Kumagaya Plant,,,1974,,
Fujitsu,,"Japan, Nagano, 460 Oaza-Koyama, Suzaka-shi, 382-8501",Suzaka Plant,,,,,
Fujitsu,,"Japan, Iwate, 4-2 Nishinemoriyama, Kanegasaki-cho, Isawa-gun, 029-4593",Iwate Plant,,,,,
Denso,0.088,"Japan , Iwate Prefecture, Kanegasaki-cho",Denso Iwate,,,"Under construction, 2019, May (planned)",Wafer (electronics)Semiconductor wafers and sensors,
Canon Inc.,,Japan,Oita,,,,,
Canon Inc.,,Japan,Kanagawa,,,,,
Canon Inc.,,Japan,Ayase,,,,,
Sharp Corporation,,Japan,Fukuyama,,,,,
Japan  Semiconductor,,Japan,Iwate,,,,,
Japan  Semiconductor,,Japan,Oita,,,,,
Kioxia,,"Japan, Yokkaichi",Yokkaichi Operations,,"173,334",1992,Flash memoryFlash Memory,
Kioxia/SanDisk,,"https://maps.google.com/maps?q=800+Yamanoisshikicho,+Yokkaichi,+Mie,+Japan Japan, 800 Yamanoisshikicho, Yokkaichi, Mie",Fab 5 Phase 1 (at Yokkaichi Operations),,,2011,Flash,
Kioxia/SanDisk,,"Japan, Mie",Fab 5 Phase 2 (at Yokkaichi Operations),15,,2011,Flash,300
